Sample	observed_features	faith_pd	chao1	shannon_entropy	Locations	Locations_Group	Weight_g	Length_mm	sample_type	Fishname	Locationtype_fishtype	location_sampletype	sampletype_speciestype	Preservation
G1	44	10.40475242	44	4.016337732	Lake_Erie	2	18	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G2	31	4.864909309	31	3.937027667	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G3	134	26.63599445	134	5.322443144	Lake_Erie	2	20	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G4	38	7.10350628	38	2.775166355	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G5	34	4.994005959	34	3.844251831	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G6	58	11.28964327	58	4.325241562	Lake_Erie	2	18	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G7	84	17.43161615	84	4.954449292	Lake_Erie	2	20	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G8	28	5.159518409	28	3.890918572	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G9	24	6.169094835	24	3.323612382	Lake_Erie	2	17	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G10	114	19.51525503	114	5.383543962	Lake_Erie	2	0.2	40	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Dry_Ice
G11	40	10.04997152	40	3.030916043	Lake_Erie	2	12	90	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G12	45	9.416282537	45	4.530757943	Lake_Erie	2	6.5	80	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G13	82	16.56866847	82	5.400097254	Lake_Erie	2	6.7	80	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G14	91	17.33348687	91	4.804058833	Lake_Erie	2	16.2	140	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Dry_Ice
G15	29	6.507918551	29	3.076201172	Lake_Erie	2	15.5	120	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Dry_Ice
G16	211	28.38416637	211	6.140628678	Lake_Erie	2	11	90	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G17	70	14.68064669	70	4.90454369	Lake_Erie	2	5.7	80	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G18	165	30.0397451	165	5.594167137	Lake_Erie	2	6.4	80	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Dry_Ice
G19	39	10.69977244	39	4.225343039	Lake_Erie	2	15	120	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Dry_Ice
G20	65	14.28357148	65	4.626667024	Lake_Erie	2	6.32	80	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Dry_Ice
G21	103	19.11922688	103	5.198149547	Lake_Erie	2	0.15	35	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Dry_Ice
G22	109	19.41889819	109	5.786994028	Lake_Erie	2	26.3	130	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G23	66	10.3087021	66	4.54466612	Lake_Erie	2	22	120	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G24	122	19.70958702	122	5.361459461	Lake_Erie	2	21.6	130	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G25	122	20.93470682	122	5.897981162	Lake_Erie	2	16.5	120	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Dry_Ice
G26	52	11.74926521	52	4.354635947	Lake_Erie	2	29	160	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G27	55	13.16851665	55	4.658881597	Lake_Erie	2	7.6	100	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G28	178	28.82423764	178	3.897103726	Lake_Erie	2	12.2	120	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G29	47	12.74653153	47	2.602008574	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G30	44	11.40188372	44	4.353171292	Lake_Erie	2	8	120	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G31	28	6.314969221	28	3.954706219	Lake_Erie	2	3.3	80	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Dry_Ice
G32	82	18.71689145	82	5.058824149	Lake_Erie	2	13.2	90	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
G33	47	11.97834493	47	4.266510782	Lake_Erie	2	10	70	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Dry_Ice
