	Locations	Locations_Group	Weight_g	Length_mm	sample_type	Fishname	location_sampletype	Locationtype_fishtype	sampletype_speciestype	Diet	Diet_Classification	Habitats	Fake
G1	Lake_Erie	2	18	140	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	1
G2	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	2
G3	Lake_Erie	2	20	140	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	3
G4	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	4
G5	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	5
G6	Lake_Erie	2	18	140	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	6
G7	Lake_Erie	2	20	140	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	7
G8	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	8
G9	Lake_Erie	2	17	140	Gut	Walleye	Lake_ErieGut	Lake_ErieWalleye	GutWalleye	Invertivore_carnivores	C	Benthopelagic	9
G10	Lake_Erie	2	0.2	40	Gut	Round_Goby	Lake_ErieGut	Lake_ErieRound_Goby	GutRound_Goby	Invertivore	B	Benthic	10
G11	Lake_Erie	2	12	90	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	11
G12	Lake_Erie	2	6.5	80	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	12
G13	Lake_Erie	2	6.7	80	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	13
G14	Lake_Erie	2	16.2	140	Gut	White_Bass	Lake_ErieGut	Lake_ErieWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	14
G15	Lake_Erie	2	15.5	120	Gut	White_Bass	Lake_ErieGut	Lake_ErieWhite_Bass	GutWhite_Bass	Invertivore_carnivores	C	Benthopelagic	15
G16	Lake_Erie	2	11	90	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	16
G17	Lake_Erie	2	5.7	80	Gut	Yellow_Perch	Lake_ErieGut	Lake_ErieYellow_Perch	GutYellow_Perch	Invertivore_carnivores	C	Benthopelagic	17
