	Locations	Locations_Group	Fishname	location_sampletype	Locationtype_fishtype	sampletype_speciestype	Diet	Habitats
S1	Detroit_River	1	Freshwater_Drum	Detroit_RiverSkin	Detroit_RiverFreshwater_drum	SkinFreshwater_drum	Invertivore_carnivore	Benthic
S2	Detroit_River	1	White_Sucker	Detroit_RiverSkin	Detroit_RiverWhite_Sucker	SkinWhite_Sucker	Invertivore_detritivore	Benthic
S3	Detroit_River	1	Pumpkinseed	Detroit_RiverSkin	Detroit_RiverPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S5	Detroit_River	1	Freshwater_Drum	Detroit_RiverSkin	Detroit_RiverFreshwater_drum	SkinFreshwater_drum	Invertivore_carnivore	Benthic
S6	Detroit_River	1	White_Sucker	Detroit_RiverSkin	Detroit_RiverWhite_Sucker	SkinWhite_Sucker	Invertivore_detritivore	Benthic
S8	Detroit_River	1	Freshwater_Drum	Detroit_RiverSkin	Detroit_RiverFreshwater_drum	SkinFreshwater_drum	Invertivore_carnivore	Benthic
S10	Detroit_River	1	Freshwater_Drum	Detroit_RiverSkin	Detroit_RiverFreshwater_drum	SkinFreshwater_drum	Invertivore_carnivore	Benthic
S12	Detroit_River	1	White_Sucker	Detroit_RiverSkin	Detroit_RiverWhite_Sucker	SkinWhite_Sucker	Invertivore_detritivore	Benthic
S15	Detroit_River	1	Pumpkinseed	Detroit_RiverSkin	Detroit_RiverPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S17	Detroit_River	1	Pumpkinseed	Detroit_RiverSkin	Detroit_RiverPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S25	Detroit_River	1	Pumpkinseed	Detroit_RiverSkin	Detroit_RiverPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S31	Detroit_River	1	Pumpkinseed	Detroit_RiverSkin	Detroit_RiverPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S35	Detroit_River	1	Rock_Bass	Detroit_RiverSkin	Detroit_RiverRock_Bass	SkinRock_Bass	Invertivore_carnivore	Benthopelagic
S36	Detroit_River	1	Rock_Bass	Detroit_RiverSkin	Detroit_RiverRock_Bass	SkinRock_Bass	Invertivore_carnivore	Benthopelagic
S37	Detroit_River	1	Rock_Bass	Detroit_RiverSkin	Detroit_RiverRock_Bass	SkinRock_Bass	Invertivore_carnivore	Benthopelagic
S48	Detroit_River	1	Pumpkinseed	Detroit_RiverSkin	Detroit_RiverPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S50	Detroit_River	1	White_Sucker	Detroit_RiverSkin	Detroit_RiverWhite_Sucker	SkinWhite_Sucker	Invertivore_detritivore	Benthic
S54	Detroit_River	1	Gizzard_Shad	Detroit_RiverSkin	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	Pelagic
S58	Detroit_River	1	White_Sucker	Detroit_RiverSkin	Detroit_RiverWhite_Sucker	SkinWhite_Sucker	Invertivore_detritivore	Benthic
S62	Detroit_River	1	Rock_Bass	Detroit_RiverSkin	Detroit_RiverRock_Bass	SkinRock_Bass	Invertivore_carnivore	Benthopelagic
S65	Detroit_River	1	Gizzard_Shad	Detroit_RiverSkin	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	Pelagic
S66	Detroit_River	1	Gizzard_Shad	Detroit_RiverSkin	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	Pelagic
S67	Detroit_River	1	Gizzard_Shad	Detroit_RiverSkin	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	Pelagic
S68	Detroit_River	1	Gizzard_Shad	Detroit_RiverSkin	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	Pelagic
S69	Detroit_River	1	Gizzard_Shad	Detroit_RiverSkin	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	Pelagic
S70	Detroit_River	1	Gizzard_Shad	Detroit_RiverSkin	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	Pelagic
S71	Detroit_River	1	Gizzard_Shad	Detroit_RiverSkin	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	Pelagic
S72	Detroit_River	1	Gizzard_Shad	Detroit_RiverSkin	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	Pelagic
S73	Detroit_River	1	Gizzard_Shad	Detroit_RiverSkin	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	Pelagic
S78	Detroit_River	1	White_Sucker	Detroit_RiverSkin	Detroit_RiverWhite_Sucker	SkinWhite_Sucker	Invertivore_detritivore	Benthic
S79	Detroit_River	1	White_Sucker	Detroit_RiverSkin	Detroit_RiverWhite_Sucker	SkinWhite_Sucker	Invertivore_detritivore	Benthic
S80	Detroit_River	1	Rock_Bass	Detroit_RiverSkin	Detroit_RiverRock_Bass	SkinRock_Bass	Invertivore_carnivore	Benthopelagic
S81	Detroit_River	1	Yellow_Perch	Detroit_RiverSkin	Detroit_RiverYellow_perch	SkinYellow_perch	Invertivore_carnivore	Benthopelagic
S82	Detroit_River	1	Yellow_Perch	Detroit_RiverSkin	Detroit_RiverYellow_perch	SkinYellow_perch	Invertivore_carnivore	Benthopelagic
S83	Detroit_River	1	Yellow_Perch	Detroit_RiverSkin	Detroit_RiverYellow_perch	SkinYellow_perch	Invertivore_carnivore	Benthopelagic
S84	Detroit_River	1	Yellow_Perch	Detroit_RiverSkin	Detroit_RiverYellow_perch	SkinYellow_perch	Invertivore_carnivore	Benthopelagic
S85	Detroit_River	1	Yellow_Perch	Detroit_RiverSkin	Detroit_RiverYellow_perch	SkinYellow_perch	Invertivore_carnivore	Benthopelagic
S86	Detroit_River	1	Yellow_Perch	Detroit_RiverSkin	Detroit_RiverYellow_perch	SkinYellow_perch	Invertivore_carnivore	Benthopelagic
S87	Detroit_River	1	Yellow_Perch	Detroit_RiverSkin	Detroit_RiverYellow_perch	SkinYellow_perch	Invertivore_carnivore	Benthopelagic
S88	Detroit_River	1	Yellow_Perch	Detroit_RiverSkin	Detroit_RiverYellow_perch	SkinYellow_perch	Invertivore_carnivore	Benthopelagic
S89	Detroit_River	1	Yellow_Perch	Detroit_RiverSkin	Detroit_RiverYellow_perch	SkinYellow_perch	Invertivore_carnivore	Benthopelagic
S90	Detroit_River	1	Yellow_Perch	Detroit_RiverSkin	Detroit_RiverYellow_perch	SkinYellow_perch	Invertivore_carnivore	Benthopelagic
S91	Detroit_River	1	White_Sucker	Detroit_RiverSkin	Detroit_RiverWhite_Sucker	SkinWhite_Sucker	Invertivore_detritivore	Benthic
S93	Detroit_River	1	Freshwater_Drum	Detroit_RiverSkin	Detroit_RiverFreshwater_drum	SkinFreshwater_drum	Invertivore_carnivore	Benthic
S94	Detroit_River	1	Pumpkinseed	Detroit_RiverSkin	Detroit_RiverPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S119	Detroit_River	1	White_Sucker	Detroit_RiverSkin	Detroit_RiverWhite_Sucker	SkinWhite_Sucker	Invertivore_detritivore	Benthic
S121	Detroit_River	1	Pumpkinseed	Detroit_RiverSkin	Detroit_RiverPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S122	Detroit_River	1	Pumpkinseed	Detroit_RiverSkin	Detroit_RiverPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S123	Detroit_River	1	Pumpkinseed	Detroit_RiverSkin	Detroit_RiverPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S124	Detroit_River	1	Rock_Bass	Detroit_RiverSkin	Detroit_RiverRock_Bass	SkinRock_Bass	Invertivore_carnivore	Benthopelagic
S125	Detroit_River	1	Rock_Bass	Detroit_RiverSkin	Detroit_RiverRock_Bass	SkinRock_Bass	Invertivore_carnivore	Benthopelagic
S137	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S139	Lake_Ontario	3	Rock_Bass	Lake_OntarioSkin	Lake_OntarioRock_Bass	SkinRock_Bass	Invertivore_carnivore	Benthopelagic
S140	Lake_Ontario	3	Rock_Bass	Lake_OntarioSkin	Lake_OntarioRock_Bass	SkinRock_Bass	Invertivore_carnivore	Benthopelagic
S148	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S150	Lake_Ontario	3	Rock_Bass	Lake_OntarioSkin	Lake_OntarioRock_Bass	SkinRock_Bass	Invertivore_carnivore	Benthopelagic
S151	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S152	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
S159	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
S160	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S162	Lake_Ontario	3	White_Sucker	Lake_OntarioSkin	Lake_OntarioWhite_Sucker	SkinWhite_Sucker	Invertivore_detritivore	Benthic
S170	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S173	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S175	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S178	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S179	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S183	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S184	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S185	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S188	Lake_Ontario	3	Gizzard_Shad	Lake_OntarioSkin	Lake_OntarioGizzard_Shad	GutGizzard_Shad	Herbivore	Pelagic
S189	Lake_Ontario	3	Freshwater_Drum	Lake_OntarioSkin	Lake_OntarioFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S190	Lake_Ontario	3	Pumpkinseed	Lake_OntarioSkin	Lake_OntarioPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S191	Lake_Ontario	3	White_Bass	Lake_OntarioSkin	Lake_OntarioWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S192	Lake_Ontario	3	Gizzard_Shad	Lake_OntarioSkin	Lake_OntarioGizzard_Shad	GutGizzard_Shad	Herbivore	Pelagic
S193	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S194	Lake_Ontario	3	White_Bass	Lake_OntarioSkin	Lake_OntarioWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S195	Lake_Ontario	3	White_Bass	Lake_OntarioSkin	Lake_OntarioWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S196	Lake_Ontario	3	White_Perch	Lake_OntarioSkin	Lake_OntarioWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S197	Lake_Ontario	3	White_Bass	Lake_OntarioSkin	Lake_OntarioWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S198	Lake_Ontario	3	Pumpkinseed	Lake_OntarioSkin	Lake_OntarioPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S199	Lake_Ontario	3	White_Perch	Lake_OntarioSkin	Lake_OntarioWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S200	Lake_Ontario	3	Walleye	Lake_OntarioSkin	Lake_OntarioWalleye	SkinWalleye	Invertivore_carnivore	Benthopelagic
S201	Lake_Ontario	3	Pumpkinseed	Lake_OntarioSkin	Lake_OntarioPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S202	Lake_Ontario	3	White_Perch	Lake_OntarioSkin	Lake_OntarioWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S203	Lake_Ontario	3	White_Perch	Lake_OntarioSkin	Lake_OntarioWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S204	Lake_Ontario	3	White_Perch	Lake_OntarioSkin	Lake_OntarioWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S205	Lake_Ontario	3	Pumpkinseed	Lake_OntarioSkin	Lake_OntarioPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S206	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S207	Lake_Ontario	3	Walleye	Lake_OntarioSkin	Lake_OntarioWalleye	SkinWalleye	Invertivore_carnivore	Benthopelagic
S208	Lake_Ontario	3	White_Perch	Lake_OntarioSkin	Lake_OntarioWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
