	Alewife	Americangizzardshad	Blacknoseshiner	Brook	Browntrout	Emerald	FreshwaterDrum	Laketrout	Pumpkinseedsunfish	RockBass	Round_goby	Spotfinshiner	Walleye	White_Bass	Whiteperch	Whitesucker	Yellowperch
Alewife	0	NA	0.58957487	0.88058791	0.49483692	0.80313486	0.64499416	0.66704831	0.78423889	0.78107963	0.50347098	0.88640889	0.5596848	0.70547583	0.76838636	0.63551944	0.63620035
Americangizzardshad	NA	0	0.67471322	0.70855976	0.88509102	0.67259224	0.82250175	0.89805476	0.54206008	0.78174932	0.81082298	0.5937622	0.73685556	0.75193333	0.82249713	0.71257662	0.76024825
Blacknoseshiner	0.58957487	0.67471322	0	0.70798105	0.62040658	NA	0.63264587	0.67458774	0.60801987	0.85782354	0.52268523	NA	0.55472909	0.67466828	0.78700869	0.68293613	0.57616863
Brook	0.88058791	0.70855976	0.70798105	0	0.89213705	0.43937779	0.86234943	0.919796129	0.60645351	0.79558633	0.78637514	0.57153165	0.8293289	0.76090366	0.85124078	0.78433958	0.84929765
Browntrout	0.49483692	0.88509102	0.62040658	0.89213705	0	0.84792591	0.57324497	NA	0.85425407	0.76658434	0.47704842	0.918311887	0.53461924	0.73467316	0.74685919	0.67102845	0.63972821
Emerald	0.80313486	0.67259224	NA	0.43937779	0.84792591	0	0.81093818	0.86010301	0.59320053	0.81560223	0.69999372	NA	0.78055705	0.7260238	0.81641142	0.63761058	0.79432981
FreshwaterDrum	0.64499416	0.82250175	0.63264587	0.86234943	0.57324497	0.81093818	0	0.71835342	0.77320364	0.82355714	0.57838343	0.84543528	0.57856679	0.64790895	0.56085036	0.69504899	0.51105891
Laketrout	0.66704831	0.89805476	0.67458774	0.919796129	NA	0.86010301	0.71835342	0	0.87995396	0.89109888	0.61711873	0.905805006	0.72748268	0.78357164	0.79545372	0.7559495	0.74572526
Pumpkinseedsunfish	0.78423889	0.54206008	0.60801987	0.60645351	0.85425407	0.59320053	0.77320364	0.87995396	0	0.72857998	0.76180292	0.56691787	0.74264748	0.55063303	0.73538044	0.5959948	0.6664365
RockBass	0.78107963	0.78174932	0.85782354	0.79558633	0.76658434	0.81560223	0.82355714	0.89109888	0.72857998	0	0.71462394	0.85077846	0.75244753	0.76439093	0.75942139	0.70690324	0.77145435
Round_goby	0.50347098	0.81082298	0.52268523	0.78637514	0.47704842	0.69999372	0.57838343	0.61711873	0.76180292	0.71462394	0	0.78794856	0.56161622	0.69488684	0.73628176	0.60049336	0.60411507
Spotfinshiner	0.88640889	0.5937622	NA	0.57153165	0.918311887	NA	0.84543528	0.905805006	0.56691787	0.85077846	0.78794856	0	0.81862133	0.71917802	0.836004	0.73163911	0.76641031
Walleye	0.5596848	0.73685556	0.55472909	0.8293289	0.53461924	0.78055705	0.57856679	0.72748268	0.74264748	0.75244753	0.56161622	0.81862133	0	0.61022165	0.62179358	0.68535166	NA
White_Bass	0.70547583	0.75193333	0.67466828	0.76090366	0.73467316	0.7260238	0.64790895	0.78357164	0.55063303	0.76439093	0.69488684	0.71917802	0.61022165	0	NA	0.62388052	0.57190791
Whiteperch	0.76838636	0.82249713	0.78700869	0.85124078	0.74685919	0.81641142	0.56085036	0.79545372	0.73538044	0.75942139	0.73628176	0.836004	0.62179358	NA	0	0.70684107	0.45724785
Whitesucker	0.63551944	0.71257662	0.68293613	0.78433958	0.67102845	0.63761058	0.69504899	0.7559495	0.5959948	0.70690324	0.60049336	0.73163911	0.68535166	0.62388052	0.70684107	0	0.66372671
Yellowperch	0.63620035	0.76024825	0.57616863	0.84929765	0.63972821	0.79432981	0.51105891	0.74572526	0.6664365	0.77145435	0.60411507	0.76641031	NA	0.57190791	0.45724785	0.66372671	0
