Sample_Id	Locations	Fishname	Diet	Habitats	Weight_Log_Transformed	faith_pd	chao1	shannon_entropy	lOG_Chao1	log_PD	Shannon_Log	  Axis 1	   Axis 2	   Axis 3	  Axis 4	   Axis 5	Lake_Water_Tem
1	2	13	4	2	2.26	10.40475242	44	4.016337732	1.64	1.02	0.6	-33.597	-39.644	-8.3978	8.4414	0.73482	20.1
2	2	13	4	2	2.28	4.864909309	31	3.937027667	1.49	0.69	0.6	-31.486	-35.226	-10.443	4.6952	-4.9078	20.1
3	2	13	4	2	2.3	26.63599445	134	5.322443144	2.13	1.43	0.73	-21.038	-28.746	-10.94	13.048	1.1246	20.1
4	2	13	4	2	2.28	7.10350628	38	2.775166355	1.58	0.85	0.44	-10.306	-8.2932	-13.649	-7.5841	1.7592	20.1
5	2	13	4	2	2.28	4.994005959	34	3.844251831	1.53	0.7	0.58	-40.3	-20.878	0.99619	18.33	-0.73436	20.1
6	2	13	4	2	2.26	11.28964327	58	4.325241562	1.76	1.05	0.64	-40.135	-24.19	1.2189	16.228	-0.30181	20.1
7	2	13	4	2	2.3	17.43161615	84	4.954449292	1.92	1.24	0.69	31.983	-7.9627	7.9598	3.2916	-3.4754	20.1
8	2	13	4	2	2.28	5.159518409	28	3.890918572	1.45	0.71	0.59	-25.142	-32.397	-5.2071	0.74987	8.0202	20.1
9	2	13	4	2	2.23	6.169094835	24	3.323612382	1.38	0.79	0.52	7.9129	10.513	-21.524	-4.9574	-9.5159	20.1
10	2	11	2	1	0.3	19.51525503	114	5.383543962	2.06	1.29	0.73	1.7538	-27.398	0.97844	8.0864	3.0043	20.1
11	2	17	4	2	2.08	10.04997152	40	3.030916043	1.6	1	0.48	15.613	-17.233	6.0002	8.2261	15.909	20.1
12	2	17	4	2	1.81	9.416282537	45	4.530757943	1.65	0.97	0.66	20.281	-14.031	6.3984	-3.0475	21.509	20.1
13	2	17	4	2	1.83	16.56866847	82	5.400097254	1.91	1.22	0.73	-2.9835	-19.152	1.8822	0.5331	18.081	20.1
14	2	14	4	2	2.21	17.33348687	91	4.804058833	1.96	1.24	0.68	26.351	-11.541	19.462	-5.8195	-4.5856	20.1
15	2	14	4	2	2.19	6.507918551	29	3.076201172	1.46	0.81	0.49	-25.849	-33.854	-3.8607	3.2947	5.8867	20.1
16	2	17	4	2	2.04	28.38416637	211	6.140628678	2.32	1.45	0.79	20.743	-3.2383	5.3405	2.475	-22.114	20.1
17	2	17	4	2	1.76	14.68064669	70	4.90454369	1.85	1.17	0.69	9.5331	-21.83	1.7483	-2.9052	16.891	20.1
18	2	17	4	2	1.81	30.0397451	165	5.594167137	2.22	1.48	0.75	18.216	-17.183	10.874	-1.7557	-11.799	20.1
19	2	14	4	2	2.18	10.69977244	39	4.225343039	1.59	1.03	0.63	34.846	-6.8472	12.641	-5.843	19.985	20.1
20	2	11	2	1	1.8	14.28357148	65	4.626667024	1.81	1.15	0.67	42.723	-3.1209	6.7964	5.8951	6.092	20.1
21	2	11	2	1	0.18	19.11922688	103	5.198149547	2.01	1.28	0.72	12.205	-22.675	12.153	-3.0243	7.6775	20.1
22	2	6	4	1	2.42	19.41889819	109	5.786994028	2.04	1.29	0.76	-1.7345	-13.5	-18.259	9.039	6.3585	20.1
23	2	6	4	1	2.34	10.3087021	66	4.54466612	1.82	1.01	0.66	-21.611	-19.372	-13.089	4.2479	-3.9673	20.1
24	2	6	4	1	2.33	19.70958702	122	5.361459461	2.09	1.29	0.73	22.73	8.582	-24.805	15.365	0.29868	20.1
25	2	6	4	1	2.22	20.93470682	122	5.897981162	2.09	1.32	0.77	30.704	3.8548	-14.269	11.937	1.2673	20.1
26	2	13	4	2	2.46	11.74926521	52	4.354635947	1.72	1.07	0.64	-23.445	-35.781	-3.1761	2.3148	8.5358	20.1
27	2	13	4	2	1.88	13.16851665	55	4.658881597	1.74	1.12	0.67	40.836	-3.3006	1.8398	2.9438	21.877	20.1
28	2	13	4	2	2.09	28.82423764	178	3.897103726	2.25	1.46	0.59	21.317	7.7515	-9.4425	11.604	-12.7	20.1
29	2	13	4	2	2.28	12.74653153	47	2.602008574	1.67	1.11	0.42	5.6732	3.7831	-8.5187	-3.3889	17.529	20.1
30	2	13	4	2	1.9	11.40188372	44	4.353171292	1.64	1.06	0.64	40.461	-3.5486	6.8257	-2.2375	15.665	20.1
31	2	13	4	2	1.52	6.314969221	28	3.954706219	1.45	0.8	0.6	38.594	-3.8427	7.9372	-4.1978	24.842	20.1
32	2	15	4	2	2.12	18.71689145	82	5.058824149	1.91	1.27	0.7	39.041	-3.9507	2.2482	6.1006	17.872	20.1
33	2	15	4	2	2	11.97834493	47	4.266510782	1.67	1.08	0.63	41.434	-5.4236	8.9256	-1.2449	19.544	20.1
34	2	15	4	2	2.18	18.53966689	91	5.090460472	1.96	1.27	0.71	28.649	-5.6873	-0.48763	10.812	5.8682	20.1
35	2	15	4	2	2.04	14.71995734	70	4.969722361	1.85	1.17	0.7	38.726	-0.75257	-5.005	11.668	9.9204	20.1
36	2	15	4	2	2.18	21.47959037	121	5.786285885	2.08	1.33	0.76	16.252	-6.6727	-13.695	15.458	5.5374	20.1
37	2	15	4	2	2.18	9.179186756	44	4.71526626	1.64	0.96	0.67	22.302	0.54695	-10.119	11.571	25.246	20.1
38	2	15	4	2	2.15	16.03783676	80	4.475104321	1.9	1.21	0.65	23.04	6.6307	-20.905	10.046	8.9485	20.1
39	2	15	4	2	2.08	24.90497904	139	5.614122577	2.14	1.4	0.75	32.499	2.6637	-11.783	12.415	0.3987	20.1
40	2	15	4	2	2.46	16.49205817	69	4.606470276	1.84	1.22	0.66	38.124	-7.1264	9.0472	2.5797	5.4809	20.1
41	2	15	4	2	2.08	18.71255039	101	5.388228791	2	1.27	0.73	-0.30037	-22.31	-4.0993	17.369	7.3296	20.1
42	2	15	4	2	2.13	5.231517807	18	2.817589127	1.26	0.72	0.45	4.8371	14.134	-32.38	1.5205	-1.2834	20.1
43	2	13	4	2	3.1	8.640744176	33	3.942503816	1.52	0.94	0.6	38.099	-4.5576	12.26	-4.4133	19.972	20.1
44	2	14	4	2	2.7	12.64463807	53	3.477252519	1.72	1.1	0.54	6.3721	16.703	-35.905	4.6147	-0.18478	20.1
45	2	11	2	1	0.3	14.08392258	57	4.21775254	1.76	1.15	0.63	39.949	-4.4086	12.097	-6.9826	18.143	20.1
46	2	11	2	1	0.48	5.848634309	23	2.894938082	1.36	0.77	0.46	8.9487	11.736	-22.805	-1.5446	4.2666	20.1
47	2	11	2	1	0.18	18.76377446	89	4.907131102	1.95	1.27	0.69	37.386	-2.42	5.0448	-1.0373	18.017	20.1
48	2	11	2	1	0.11	8.274752252	34	3.869269454	1.53	0.92	0.59	34.917	-0.15178	-0.52579	-0.96229	26.293	20.1
49	2	11	2	1	0.18	22.66601312	125	5.510676887	2.1	1.36	0.74	37.05	-0.35948	-0.10116	5.0811	7.3106	20.1
50	2	17	4	2	2.11	26.37973584	128	4.460945916	2.11	1.42	0.65	32.756	3.4687	-16.8	17.532	13.081	20.1
51	2	17	4	2	2.06	20.96381241	101	5.15208348	2	1.32	0.71	36.46	1.3047	-10.832	13.018	7.7863	20.1
52	2	17	4	2	1.85	17.6071184	74	4.330059224	1.87	1.25	0.64	17.711	12.881	-32.898	9.8467	5.4475	20.1
53	2	17	4	2	2	20.347742	94	5.413504106	1.97	1.31	0.73	34.63	1.3529	-8.7451	9.7111	16.787	20.1
54	2	17	4	2	1.78	19.75279043	81	4.265179812	1.91	1.3	0.63	38.315	-6.5149	15.545	-0.34905	2.0979	20.1
55	2	17	4	2	1.74	22.35667769	116	5.246637113	2.06	1.35	0.72	3.7095	-24.565	-9.6123	12.971	11.761	20.1
56	2	17	4	2	1.75	17.46218931	81	4.830864352	1.91	1.24	0.68	36.817	-4.3596	2.9047	2.9503	8.9745	20.1
57	2	17	4	2	1.79	21.95994225	110	5.210843735	2.04	1.34	0.72	35.84	-3.0204	1.9559	6.2619	7.8229	20.1
58	2	14	4	2	2.21	8.333634837	41	3.475105332	1.61	0.92	0.54	24.609	8.7002	-19.852	4.2286	15.428	20.1
59	2	14	4	2	2.19	9.493367909	41	2.728365712	1.61	0.98	0.44	6.2397	12.276	-27.062	-1.3222	-1.2844	20.1
60	2	14	4	2	2.2	15.93069999	78	4.065361227	1.89	1.2	0.61	26.112	6.2518	-18.058	4.4835	4.8081	20.1
61	2	13	4	2	2.85	9.668500357	52	4.961313026	1.72	0.99	0.7	-8.0326	13.004	15.338	-6.0047	16.146	20.1
62	2	6	4	1	3.32	38.76395817	248	5.373491046	2.39	1.59	0.73	18.106	12.142	-34.786	23.101	-6.4075	20.1
63	2	6	4	1	3.74	12.21340776	51	3.203614411	1.71	1.09	0.51	-27.953	-25.573	-22.934	4.5147	-3.2466	20.1
64	2	6	4	1	3	18.64656085	84	4.362790579	1.92	1.27	0.64	-27.412	-31.506	-19.285	18.48	1.4558	20.1
65	2	6	4	1	2.38	35.71353856	203	6.446532523	2.31	1.55	0.81	19.9	11.147	-29.589	18.386	-5.9079	20.1
66	2	6	4	1	2.35	30.98257409	179	6.120433168	2.25	1.49	0.79	25.669	9.0815	-24.277	18.172	-3.9159	20.1
67	2	6	4	1	2.39	24.81485275	131	6.065464931	2.12	1.39	0.78	29.686	5.8261	-16.379	13.574	3.9795	20.1
68	2	6	4	1	2.41	38.77030057	261	6.771744909	2.42	1.59	0.83	24.124	8.9249	-26.031	20.324	-11.017	20.1
69	2	6	4	1	2.35	33.45627829	207	6.6317388	2.32	1.52	0.82	26.056	8.2623	-22.967	19.254	-4.9075	20.1
70	2	6	4	1	2.22	30.70636957	184	4.890140283	2.26	1.49	0.69	16.954	13.199	-32.377	18.08	-7.9103	20.1
71	2	6	4	1	2.43	37.71748614	256	6.55242389	2.41	1.58	0.82	10.674	4.3261	-28.97	20.994	-4.1306	20.1
72	2	6	4	1	2.4	31.53602449	173	5.556664945	2.24	1.5	0.74	15.783	11.524	-34.177	22.941	-5.3934	20.1
73	2	6	4	1	2.54	28.51572733	169	6.323965216	2.23	1.46	0.8	19.339	11.836	-29.839	18.08	-6.2639	20.1
74	2	6	4	1	2.34	13.66158762	61	3.777963141	1.79	1.14	0.58	-27.925	-31.776	-15.812	19.806	-1.3104	20.1
75	2	15	4	2	2.18	26.71957532	159	5.656585832	2.2	1.43	0.75	17.613	16.06	-33.417	20.6	1.9838	20.1
76	2	15	4	2	2.18	18.13918922	72	5.057652226	1.86	1.26	0.7	34.837	3.7145	-12.407	16.749	21.412	20.1
77	2	15	4	2	2.19	19.58208697	95	5.416256766	1.98	1.29	0.73	27.981	9.4631	-23.836	22.49	17.507	20.1
78	2	15	4	2	2.17	19.12152135	93	5.014129924	1.97	1.28	0.7	32.484	1.228	-4.1751	12.546	10.542	20.1
79	2	15	4	2	2.18	17.07286032	84	5.106196535	1.92	1.23	0.71	32.781	7.3903	-19.79	21.682	19.101	20.1
80	2	15	4	2	2.18	8.750570579	26	3.511129171	1.41	0.94	0.55	19.53	7.9264	-16.4	1.6123	17.85	20.1
81	2	15	4	2	2.16	7.719076147	24	2.720669605	1.38	0.89	0.43	5.9483	16.986	-34.384	1.8779	-1.7982	20.1
82	2	15	4	2	2.19	22.12885982	124	4.796353572	2.09	1.34	0.68	26.486	9.7493	-22.416	20.811	6.3644	20.1
83	2	15	4	2	2.18	21.70367831	118	5.810145296	2.07	1.34	0.76	24.926	11.313	-30.577	24.541	13.126	20.1
84	2	15	4	2	2.18	13.23416941	70	4.963095915	1.85	1.12	0.7	22.329	0.0053049	-0.51263	5.4902	14.008	20.1
85	2	17	4	2	2.04	21.12224864	89	5.013425145	1.95	1.32	0.7	37.006	-5.2865	4.8878	3.4933	9.8173	20.1
86	2	14	4	2	2.18	24.39175195	132	5.18777472	2.12	1.39	0.71	33.598	-1.6073	4.7066	3.5273	-12.703	20.1
87	2	14	4	2	2.21	32.12048699	201	4.947762809	2.3	1.51	0.69	28.311	4.794	-6.1583	8.7534	-15.731	20.1
