Sample_Id	Sample	Locations	Fishname	Diet	Habitats	Weight	shannon_entropy	Chao1	PD	  Axis 1	   Axis 2	   Axis 3	  Axis 4	   Axis 5	Pres
1	G1	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.26	4.016337732	1.64	1.02	-33.597	-39.644	-8.3978	8.4414	0.73482	No
2	G2	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.28	3.937027667	1.49	0.69	-31.486	-35.226	-10.443	4.6952	-4.9078	No
3	G3	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.3	5.322443144	2.13	1.43	-21.038	-28.746	-10.94	13.048	1.1246	No
4	G4	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.28	2.775166355	1.58	0.85	-10.306	-8.2932	-13.649	-7.5841	1.7592	No
5	G5	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.28	3.844251831	1.53	0.7	-40.3	-20.878	0.99619	18.33	-0.73436	No
6	G6	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.26	4.325241562	1.76	1.05	-40.135	-24.19	1.2189	16.228	-0.30181	No
7	G7	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.3	4.954449292	1.92	1.24	31.983	-7.9627	7.9598	3.2916	-3.4754	No
8	G8	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.28	3.890918572	1.45	0.71	-25.142	-32.397	-5.2071	0.74987	8.0202	No
9	G9	Lake_Erie	Walleye	Invertivore_carnivores	Benthopelagic	2.23	3.323612382	1.38	0.79	7.9129	10.513	-21.524	-4.9574	-9.5159	No
10	G10	Lake_Erie	Round_Goby	Invertivore	Benthic	0.3	5.383543962	2.06	1.29	1.7538	-27.398	0.97844	8.0864	3.0043	No
11	G11	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.08	3.030916043	1.6	1	15.613	-17.233	6.0002	8.2261	15.909	No
12	G12	Lake_Erie	Yellow_Perch	Invertivore_carnivores	Benthopelagic	1.81	4.530757943	1.65	0.97	20.281	-14.031	6.3984	-3.0475	21.509	No
