	Alewife	Americangizzardshad	Blacknoseshiner	Brook	Browntrout	Emerald	FreshwaterDrum	Laketrout	Pumpkinseedsunfish	RockBass	Round_goby	Spotfinshiner	Walleye	White_Bass	Whiteperch	Whitesucker	Yellowperch
Alewife	0	NA	0.67531705	0.64483963	0.51032128	0.76220092	0.74762118	0.50927218	0.62189531	0.55585349	0.42222897	0.76665654	0.82125551	0.80969926	0.77136701	0.69951927	0.78677497
Americangizzardshad	NA	0	0.4488703	0.55489716	0.76475645	0.54393347	0.64173187	0.73056266	0.57435354	0.62102434	0.539402	0.43810656	0.74205525	0.75564223	0.75101363	0.41835663	0.54915136
Blacknoseshiner	0.67531705	0.4488703	0	0.4700687	0.73742924	NA	0.75491471	0.79740678	0.59949338	0.60987678	0.52406394	NA	0.84820494	0.85002173	0.84282487	0.56722901	0.6041078
Brook	0.64483963	0.55489716	0.4700687	0	0.68357122	0.49016027	0.59183978	0.77343881	0.48265103	0.5478942	0.50063043	0.43483702	0.75858516	0.73692805	0.65793044	0.39268068	0.56970573
Browntrout	0.51032128	0.76475645	0.73742924	0.68357122	0	0.81760191	0.74414512	NA	0.65097648	0.55455901	0.53186749	0.79453141	0.79834261	0.77910528	0.75326693	0.77029725	0.76701969
Emerald	0.76220092	0.54393347	NA	0.49016027	0.81760191	0	0.53381909	0.77651559	0.56659507	0.68610297	0.62973686	NA	0.76448409	0.75082408	0.6474013	0.30304112	0.61132711
FreshwaterDrum	0.74762118	0.64173187	0.75491471	0.59183978	0.74414512	0.53381909	0	0.75908332	0.52831116	0.6374232	0.62145085	0.63949655	0.51830427	0.53610852	0.46840361	0.5222269	0.50291906
Laketrout	0.50927218	0.73056266	0.79740678	0.77343881	NA	0.77651559	0.75908332	0	0.73182903	0.69111521	0.59869367	0.84574967	0.82658205	0.81723315	0.77175258	0.73679019	0.84522123
Pumpkinseedsunfish	0.62189531	0.57435354	0.59949338	0.48265103	0.65097648	0.56659507	0.52831116	0.73182903	0	0.42013785	0.49253527	0.54251439	0.65770443	0.60410559	0.60096825	0.54184806	0.57280652
RockBass	0.55585349	0.62102434	0.60987678	0.5478942	0.55455901	0.68610297	0.6374232	0.69111521	0.42013785	0	0.49965599	0.67789357	0.71462927	0.65603977	0.64630587	0.63382732	0.65579699
Round_goby	0.42222897	0.539402	0.52406394	0.50063043	0.53186749	0.62973686	0.62145085	0.59869367	0.49253527	0.49965599	0	0.62874652	0.74309895	0.73443729	0.71370602	0.56679987	0.68633622
Spotfinshiner	0.76665654	0.43810656	NA	0.43483702	0.79453141	NA	0.63949655	0.84574967	0.54251439	0.67789357	0.62874652	0	0.79558816	0.81171123	0.7307273	0.47742644	0.45233659
Walleye	0.82125551	0.74205525	0.84820494	0.75858516	0.79834261	0.76448409	0.51830427	0.82658205	0.65770443	0.71462927	0.74309895	0.79558816	0	0.48241663	0.55606774	0.75395779	NA
White_Bass	0.80969926	0.75564223	0.85002173	0.73692805	0.77910528	0.75082408	0.53610852	0.81723315	0.60410559	0.65603977	0.73443729	0.81171123	0.48241663	0	NA	0.7419002	0.61354932
Whiteperch	0.77136701	0.75101363	0.84282487	0.65793044	0.75326693	0.6474013	0.46840361	0.77175258	0.60096825	0.64630587	0.71370602	0.7307273	0.55606774	NA	0	0.62946828	0.59439286
Whitesucker	0.69951927	0.41835663	0.56722901	0.39268068	0.77029725	0.30304112	0.5222269	0.73679019	0.54184806	0.63382732	0.56679987	0.47742644	0.75395779	0.7419002	0.62946828	0	0.5567003
Yellowperch	0.78677497	0.54915136	0.6041078	0.56970573	0.76701969	0.61132711	0.50291906	0.84522123	0.57280652	0.65579699	0.68633622	0.45233659	NA	0.61354932	0.59439286	0.5567003	0
