	Locations	Fishname	Locationtype_fishtype	location_sampletype	sampletype_speciestype	sample_type
G1	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G2	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G3	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G4	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G5	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G6	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G7	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G8	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G9	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G10	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Gut
G11	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G12	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G13	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G14	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Gut
G15	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Gut
G16	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G17	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G18	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G19	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Gut
G20	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Gut
G21	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Gut
G22	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G23	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G24	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G25	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G26	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G27	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G28	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G29	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G30	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G31	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G32	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G33	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G34	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G35	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G36	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G37	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G38	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G39	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G40	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G41	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G42	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G43	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G44	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Gut
G45	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Gut
G46	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Gut
G47	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Gut
G48	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Gut
G49	Lake_Erie	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby	Gut
G50	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G51	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G52	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G53	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G54	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G55	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G56	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G57	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G58	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Gut
G59	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Gut
G60	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Gut
G61	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G62	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G63	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G64	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G65	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G66	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G67	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G68	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G69	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G70	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G71	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G72	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G73	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G74	Lake_Erie	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum	Gut
G75	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G76	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G77	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G78	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G79	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G81	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G82	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G83	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G84	Lake_Erie	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch	Gut
G86	Lake_Erie	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch	Gut
G87	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Gut
G88	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Gut
G89	Lake_Erie	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass	Gut
G90	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G91	Lake_Erie	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye	Gut
G97	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G98	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G99	Lake_Ontario	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioGut	GutRock_Bass	Gut
G100	Lake_Ontario	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioGut	GutRock_Bass	Gut
G102	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G103	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G104	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G107	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G108	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G109	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G110	Lake_Ontario	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioGut	GutRock_Bass	Gut
G111	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G112	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	Gut
G113	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G114	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G115	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G117	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G119	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	Gut
G120	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G121	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G122	Lake_Ontario	White_Sucker	Lake_OntarioWhite_Sucker	Lake_OntarioGut	GutWhite_Sucker	Gut
G123	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G124	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G125	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
G126	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G127	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G128	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
G129	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
G130	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G131	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
G132	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
G133	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G134	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
G135	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G137	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
G138	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G139	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G140	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G142	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
G144	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G145	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G146	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
G147	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G148	Lake_Ontario	Gizzard_Shad	Lake_OntarioGizzard_Shad	Lake_OntarioGut	GutGizzard_Shad	Gut
G149	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	Gut
G151	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	Gut
G152	Lake_Ontario	Gizzard_Shad	Lake_OntarioGizzard_Shad	Lake_OntarioGut	GutGizzard_Shad	Gut
G153	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G154	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	Gut
G155	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	Gut
G156	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	Gut
G157	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	Gut
G158	Lake_Ontario	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed	Gut
G159	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	Gut
G160	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye	Gut
G161	Lake_Ontario	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed	Gut
G162	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	Gut
G163	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	Gut
G164	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	Gut
G165	Lake_Ontario	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed	Gut
G166	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G167	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye	Gut
G168	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	Gut
G169	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	Gut
G170	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	Gut
G172	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	Gut
G173	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	Gut
G174	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye	Gut
G175	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	Gut
G176	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	Gut
G177	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	Gut
G178	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G179	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	Gut
G180	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	Gut
G181	Lake_Ontario	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed	Gut
G182	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	Gut
G183	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	Gut
G184	Lake_Ontario	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	Gut
G185	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G194	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G195	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G196	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	Gut
G197	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye	Gut
G198	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye	Gut
G199	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G200	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G201	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G202	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G203	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G204	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G205	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G207	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G208	Lake_Ontario	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye	Gut
G209	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G210	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G211	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G213	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G214	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G215	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G216	Lake_Ontario	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	Gut
G217	Lake_Ontario	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	Gut
G218	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	Gut
G219	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	Gut
G220	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	Gut
G221	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	Gut
G222	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	Gut
G223	Lake_Ontario	White_Sucker	Lake_OntarioWhite_Sucker	Lake_OntarioGut	GutWhite_Sucker	Gut
G224	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	Gut
G225	Lake_Ontario	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	Gut
G226	Lake_Ontario	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	Gut
G227	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
G228	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
G229	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
G230	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G231	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	Gut
G232	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G234	Lake_Ontario	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	Gut
G235	Lake_Ontario	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	Gut
G236	Lake_Ontario	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	Gut
