	Alewife	Americangizzardshad	Blacknoseshiner	Brook	Browntrout	Emerald	FreshwaterDrum	Laketrout	Pumpkinseedsunfish	RockBass	Round_goby	Spotfinshiner	Walleye	White_Bass	Whiteperch	Whitesucker	Yellowperch
Alewife	0	NA	0.225198619	0.238590381	0.232642391	0.242648662	0.249533483	0.230851873	0.257693398	0.246907849	0.252329282	0.256838154	0.248241523	0.272925415	0.277624979	0.266906719	0.254387771
Americangizzardshad	NA	0	0.244581806	0.229074296	0.236472102	0.243064922	0.2462618	0.23107487	0.2443202	0.25301529	0.253418336	0.252666241	0.236759396	0.249927538	0.275047218	0.256624911	0.241677152
Blacknoseshiner	0.225198619	0.244581806	0	0.276375005	0.251021904	NA	0.266128369	0.256802365	0.270891179	0.265797756	0.273080724	NA	0.269981952	0.280643145	0.293220552	0.223609468	0.256756313
Brook	0.238590381	0.229074296	0.276375005	0	0.238998569	0.28033	0.251589038	0.241184365	0.239908724	0.22989735	0.242019827	0.269430449	0.234198909	0.253175243	0.253143756	0.269949048	0.242971842
Browntrout	0.232642391	0.236472102	0.251021904	0.238998569	0	0.253416824	0.268240597	NA	0.237878745	0.244397034	0.265751456	0.263883074	0.252230596	0.270587857	0.275193893	0.261404042	0.246039971
Emerald	0.242648662	0.243064922	NA	0.28033	0.253416824	0	0.266288717	0.252666141	0.278043466	0.273662993	0.290872631	NA	0.271997236	0.290234557	0.300211913	0.233139015	0.273972768
FreshwaterDrum	0.249533483	0.2462618	0.266128369	0.251589038	0.268240597	0.266288717	0	0.268698204	0.23014125	0.236326107	0.24852229	0.277138472	0.243029709	0.260088555	0.267562047	0.266711477	0.220377805
Laketrout	0.230851873	0.23107487	0.256802365	0.241184365	NA	0.252666141	0.268698204	0	0.251079646	0.245400284	0.272846273	0.259126477	0.24454658	0.281023018	0.283458385	0.267321919	0.248695189
Pumpkinseedsunfish	0.257693398	0.2443202	0.270891179	0.239908724	0.237878745	0.278043466	0.23014125	0.251079646	0	0.214120845	0.255750672	0.274784454	0.219431352	0.251533907	0.24949319	0.269041217	0.238614761
RockBass	0.246907849	0.25301529	0.265797756	0.22989735	0.244397034	0.273662993	0.236326107	0.245400284	0.214120845	0	0.254383926	0.278918874	0.236647095	0.246524784	0.254480192	0.273589287	0.228625654
Round_goby	0.252329282	0.253418336	0.273080724	0.242019827	0.265751456	0.290872631	0.24852229	0.272846273	0.255750672	0.254383926	0	0.296416508	0.255662627	0.285794917	0.27741908	0.273969875	0.250715866
Spotfinshiner	0.256838154	0.252666241	NA	0.269430449	0.263883074	NA	0.277138472	0.259126477	0.274784454	0.278918874	0.296416508	0	0.278543805	0.302842675	0.292046153	0.236978357	0.273381269
Walleye	0.248241523	0.236759396	0.269981952	0.234198909	0.252230596	0.271997236	0.243029709	0.24454658	0.219431352	0.236647095	0.255662627	0.278543805	0	0.246380714	0.255468551	0.258811967	NA
White_Bass	0.272925415	0.249927538	0.280643145	0.253175243	0.270587857	0.290234557	0.260088555	0.281023018	0.251533907	0.246524784	0.285794917	0.302842675	0.246380714	0	NA	0.288599996	0.250565803
Whiteperch	0.277624979	0.275047218	0.293220552	0.253143756	0.275193893	0.300211913	0.267562047	0.283458385	0.24949319	0.254480192	0.27741908	0.292046153	0.255468551	NA	0	0.287211093	0.248439359
Whitesucker	0.266906719	0.256624911	0.223609468	0.269949048	0.261404042	0.233139015	0.266711477	0.267321919	0.269041217	0.273589287	0.273969875	0.236978357	0.258811967	0.288599996	0.287211093	0	0.258752594
Yellowperch	0.254387771	0.241677152	0.256756313	0.242971842	0.246039971	0.273972768	0.220377805	0.248695189	0.238614761	0.228625654	0.250715866	0.273381269	NA	0.250565803	0.248439359	0.258752594	0
