otu	Domain	Phylum	Class	Order	Family
c2ecc6fb274ae9bba4273016861fcd1c	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
298c22a3b7e1bae93d784e376a8a95cd	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
cb7025680d2ec56780aa34ab032b4523	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
46294c7e5dfe0c2fa0ac213394442755	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
75b1f4200d3d0c56766183657d333c3f	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
a195333314b25789ba7ed971886f886b	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
56c17dd6cafcfd7207d39d92cccae871	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
42fc3ba6e5e024576fd41e0e2e583ecb	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
136791c686d12e1a52fdf780e1c5d5e1	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
d196ca417701d1a3969b495ec311a609	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
e8419b8692d8c0d1db24b1935400e5f0	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
90da6ea0fbd58278a93e7ee5ae1b9993	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
692f9df2d203504a60b39ec03f2eecb8	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
8c628381d372054277820eaa83e93e6c	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
223f82b2735093efd0fa18c1b87255e5	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
eddfd6241df71ef12e985d82e792813d	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
9f9f2e0e720183a22b5af8967c1df471	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
3c3e7258081df8b9fe4bc2f0ab359cc6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
55aeaa821c7833a2d5fb897f46e9ea6d	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
25061f9ab66390a7d8b7349d7bf14ab1	Bacteria	Firmicutes	Bacilli	Staphylococcales	 Staphylococcaceae
93bf18d8d20dfdd3b616c3e45b1de8b5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
2b71611d2dfdfead92f4d711b587141e	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
368c69bfba77972146ae6646b0fc8941	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
c5c10d398f043479b2a83ac06b33e7da	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
3bc35eb8619a39a2be46d754bdfe74be	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
52b095f41e873143faa8628da745301b	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
602e74e257ee5d8538ac22f6f549eb2e	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
8e8438115fe23e815d3baa7fd579960d	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA
e01c776aa287c8eb4286d9422cc1e316	Bacteria	Firmicutes	Bacilli	Exiguobacterales	 Exiguobacteraceae
5669703ea19edd9c3610c7d82ce74b0a	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
87a3d50914fc65d859d3f48616fd3813	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
c48b1ecb40816c7281cfe6ced1cd836d	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	 Moraxellaceae
466d70b15197c383e6ba46fd49bd217e	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
e42a277b3b5f48cc205188199acc4d67	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	 Fusobacteriaceae
2209d489598e9b7ca8c796374ef38458	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	 Shewanellaceae
dff51171e239c69247535f5a79c23cb0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
0d9e342024ad059afbc4a239bfc0ec83	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
