	Locations	Locations_Group	Weight_g	Length_mm	sample_type	Fishname	Locationtype_fishtype	location_sampletype	sampletype_speciestype
G1	Lake_Erie	2	18	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G2	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G3	Lake_Erie	2	20	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G4	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G5	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G6	Lake_Erie	2	18	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G7	Lake_Erie	2	20	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G8	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G9	Lake_Erie	2	17	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G10	Lake_Erie	2	0.2	40	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby
G11	Lake_Erie	2	12	90	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G12	Lake_Erie	2	6.5	80	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G13	Lake_Erie	2	6.7	80	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G14	Lake_Erie	2	16.2	140	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass
G15	Lake_Erie	2	15.5	120	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass
G16	Lake_Erie	2	11	90	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G17	Lake_Erie	2	5.7	80	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G18	Lake_Erie	2	6.4	80	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G19	Lake_Erie	2	15	120	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass
G20	Lake_Erie	2	6.32	80	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby
G21	Lake_Erie	2	0.15	35	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby
G22	Lake_Erie	2	26.3	130	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G23	Lake_Erie	2	22	120	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G24	Lake_Erie	2	21.6	130	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G25	Lake_Erie	2	16.5	120	Gut	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieGut	GutFreshwater_Drum
G26	Lake_Erie	2	29	160	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G27	Lake_Erie	2	7.6	100	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G28	Lake_Erie	2	12.2	120	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G29	Lake_Erie	2	19	140	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G30	Lake_Erie	2	8	120	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G31	Lake_Erie	2	3.3	80	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G32	Lake_Erie	2	13.2	90	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G33	Lake_Erie	2	10	70	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G34	Lake_Erie	2	15	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G35	Lake_Erie	2	11	75	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G36	Lake_Erie	2	15.2	99	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G37	Lake_Erie	2	15.1	100	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G38	Lake_Erie	2	14	90	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G39	Lake_Erie	2	12	80	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G40	Lake_Erie	2	29	130	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G41	Lake_Erie	2	12	80	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G42	Lake_Erie	2	13.5	90	Gut	White_Perch	Lake_ErieWhite_Perch	Lake_ErieGut	GutWhite_Perch
G43	Lake_Erie	2	125	250	Gut	Walleye	Lake_ErieWalleye	Lake_ErieGut	GutWalleye
G44	Lake_Erie	2	50	170	Gut	White_Bass	Lake_ErieWhite_Bass	Lake_ErieGut	GutWhite_Bass
G45	Lake_Erie	2	0.2	34	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby
G46	Lake_Erie	2	0.3	45	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby
G47	Lake_Erie	2	0.15	35	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby
G48	Lake_Erie	2	0.13	30	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby
G49	Lake_Erie	2	0.15	33	Gut	Round_Goby	Lake_ErieRound_Goby	Lake_ErieGut	GutRound_Goby
G50	Lake_Erie	2	13	100	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G51	Lake_Erie	2	11.5	90	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
G52	Lake_Erie	2	7	80	Gut	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieGut	GutYellow_Perch
